date,symbol,variety,open,high,low,close,settle,pre_settle,volume,open_interest,turnover,source,source_url
2025-10-29,SN2602,SN,284920,287490,284920,286890,286350,285010,3388,5120,97016.894,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251029.dat
2025-10-29,SN2603,SN,284990,287150,284990,286450,286090,284650,761,2329,21772.041,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251029.dat
2025-10-29,SN2604,SN,285950,287170,284740,286060,285930,284960,616,1306,17613.409,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251029.dat
2025-10-29,SN2605,SN,284840,286500,284500,286060,285540,284500,291,481,8309.308,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251029.dat
2025-10-29,SN2606,SN,285600,286740,284440,285400,285560,284760,82,135,2341.673,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251029.dat
2025-10-29,SN2607,SN,285940,286680,284400,285840,285820,284560,27,30,771.715,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251029.dat
2025-10-29,SN2608,SN,285950,286020,285300,285400,285620,284360,7,62,199.939,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251029.dat
2025-10-29,SN2609,SN,286150,286400,285380,285720,285840,284420,7,22,200.089,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251029.dat
2025-10-29,SN2610,SN,286260,286260,285540,285540,285850,283000,4,7,114.343,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251029.dat
2025-10-30,SN2511,SN,286480,286480,282400,283040,284160,285630,5482,3537,155777.98,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251030.dat
2025-10-30,SN2512,SN,286360,286720,282900,283600,284690,286250,74299,38515,2115281.77,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251030.dat
2025-10-30,SN2601,SN,286500,286880,283150,283800,284820,286360,20521,19817,584480.365,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251030.dat
2025-10-30,SN2602,SN,286890,287080,283230,283830,285010,286350,3855,5798,109874.612,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251030.dat
2025-10-30,SN2603,SN,286710,286710,283000,283510,284530,286090,645,2498,18352.524,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251030.dat
2025-10-30,SN2604,SN,285530,286060,282970,283230,284520,285930,289,1342,8222.675,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251030.dat
2025-10-30,SN2605,SN,284770,285800,282880,283060,284500,285540,81,479,2304.511,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251030.dat
2025-10-30,SN2606,SN,284800,285500,283000,283000,284410,285560,23,141,654.153,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251030.dat
2025-10-30,SN2607,SN,285360,285360,282960,283330,284000,285820,10,31,284.002,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251030.dat
2025-10-30,SN2608,SN,285350,285350,282880,283090,283970,285620,4,62,113.589,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251030.dat
2025-10-30,SN2609,SN,284260,285870,283830,283930,284840,285840,8,21,227.878,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251030.dat
